Ticker,Name,Industry,Date,RSI7,RSI14,Yesterday_RSI7,Yesterday_RSI14
005930,삼성전자,반도체,2025-07-20,58.42,31.85,56.48,29.85
000660,SK하이닉스,반도체,2025-07-20,78.16,82.14,75.96,79.41
035420,NAVER,인터넷,2025-07-20,28.73,40.22,30.63,42.76
051910,LG화학,화학,2025-07-20,76.85,59.12,74.22,56.45
006400,삼성SDI,전기전자,2025-07-20,64.29,35.91,66.83,33.60
035720,카카오,인터넷,2025-07-20,12.84,58.42,8.26,55.69
000270,기아,자동차,2025-07-20,42.15,52.73,39.99,49.59
373220,LG에너지솔루션,전기전자,2025-07-20,48.92,46.81,51.54,49.34
207940,삼성바이오로직스,바이오,2025-07-20,19.35,39.24,16.66,36.68
068270,셀트리온,바이오,2025-07-20,35.21,43.95,38.05,40.73
